"","ID","gc","DSI_F","DSI_M","state","n_adults","n_adults_squared","mean_tmax_30d","season","rain_anom_3mo","proprank","avg_mat_kin","avg_age","avg_density","percent_days_with_infant","percent_days_cycling","age_sample","hydroyear","grp","adv_rain","adv_sib","adv_density","adv_mom","adv_mom_rank","adv_mom_dsi","adv_cumulative"
"24",1,4.28620382349654,1.592059609,2.439446553,"Cycling",11,121,34.38461538,"Wet",14.04883721,0.875,1,5.088295688,9.243169399,0,1,5.587953457,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"25",1,4.43734307534459,1.366070509,2.306272364,"Cycling",15,225,31.86206897,"Dry",-73.1,0.888888889,1,5.26899384,9.75136612,0,1,5.768651608,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"26",1,4.84827321504191,1.374425193,2.186734319,"Cycling",18,324,31.27586207,"Dry",-65.11395349,0.888888889,1,5.279945243,9.833333333,0,1,5.779603012,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"27",1,4.50601261445487,1.415611551,2.160709589,"Cycling",19,361,31,"Dry",-61.58372093,0.888888889,1,5.285420945,9.882513661,0,1,5.785078713,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"28",1,5.11451471347228,1.387945779,2.12640971,"Cycling",20,400,30.03333333,"Dry",-37.0547619,0.888888889,1,5.326488706,10.27868852,0,1,5.826146475,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"29",1,3.78985537145394,1.500660304,2.240522334,"Cycling",18,324,30.78571429,"Dry",-14.55238095,0.888888889,1,5.40862423,11.09016393,0,1,5.908281999,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"30",1,3.52812367523454,1.537696279,2.225596284,"Cycling",19,361,31,"Dry",-4.99047619,0.888888889,1,5.441478439,11.3989071,0,1,5.941136208,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"31",1,3.54443154974806,1.586996325,2.110624208,"Pregnant",20,400,32.21428571,"Dry",-1.111904762,0.888888889,1,5.540041068,12.5273224,0,0.986338798,6.039698836,"2004",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"32",1,3.54269694393586,1.304301921,2.257266595,"Pregnant",17,289,33.55555556,"Wet",-16.37857143,0.888888889,1,5.665982204,13.70765027,0,0.860655738,6.165639973,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"33",1,3.89893776587949,1.083381992,2.219275408,"Pregnant",17,289,33.37931034,"Wet",-52.75581395,0.888888889,1,5.739904175,14.29781421,0,0.786885246,6.239561944,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"34",1,4.34237582904409,1.194704198,2.215180708,"Pregnant",14,196,34.5,"Wet",-67.43125,0.875,1,5.846680356,15.08196721,0,0.680327869,6.346338125,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"35",1,4.8168077971161,1.535891985,2.053612589,"Pregnant",12,144,36.55555556,"Wet",-36.975,0.857142857,1,6.009582478,15.56438356,0,0.517808219,6.507871321,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"36",1,4.46556323160167,1.582922862,2.203262561,"Lactating",11,121,36.11111111,"Wet",35.715625,0.857142857,1,6.039698836,15.59178082,0,0.487671233,6.53798768,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"37",1,4.2284382967028,1.870632589,1.679159699,"Lactating",12,144,32.75862069,"Wet",65.60930233,0.875,1,6.151950719,15.6630137,0.095890411,0.375342466,6.650239562,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"38",1,3.97424634860828,1.851683539,1.676258457,"Lactating",12,144,32.96551724,"Wet",63.8372093,0.875,1,6.15742642,15.66575342,0.101369863,0.369863014,6.655715264,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"39",1,4.21493845852052,1.791420074,1.692180872,"Lactating",13,169,34.4137931,"Wet",73.64186047,0.875,1,6.203969884,15.76438356,0.147945205,0.323287671,6.702258727,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"40",1,4.17730608293645,1.846463446,1.548068258,"Lactating",13,169,33.3,"Dry",56.55581395,0.875,1,6.228610541,15.81917808,0.17260274,0.298630137,6.726899384,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"41",1,4.06748710805222,1.817632302,1.717217969,"Lactating",12,144,31.75,"Dry",79.68139535,0.875,1,6.277891855,15.67123288,0.208219178,0.249315068,6.776180698,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"42",1,4.45921913050379,1.879963884,2.068186851,"Lactating",14,196,30.67857143,"Dry",39.89285714,0.875,1,6.318959617,15.43561644,0.208219178,0.208219178,6.81724846,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"43",1,3.88834487807357,1.995842846,1.859303385,"Lactating",14,196,29.13333333,"Dry",-11.28809524,0.875,1,6.36550308,15.16986301,0.208219178,0.161643836,6.863791923,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"44",1,3.97574869630869,2.000250978,1.91059121,"Lactating",14,196,29.3,"Dry",-5.980952381,0.875,1,6.373716632,15.12876712,0.208219178,0.153424658,6.872005476,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"45",1,3.99489248325044,1.966665037,1.631349618,"Lactating",14,196,28.82758621,"Dry",10.83333333,0.875,1,6.414784394,14.96438356,0.208219178,0.112328767,6.913073238,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"46",1,4.46567820716949,2.157095242,1.269242644,"Lactating",14,196,31.48148148,"Dry",0.452380952,0.875,1,6.510609172,14.38356164,0.208219178,0.016438356,7.008898015,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"47",1,4.5128355747853,2.162996189,1.263595526,"Lactating",14,196,31.77777778,"Dry",0.473809524,0.875,1,6.516084873,14.34520548,0.208219178,0.010958904,7.014373717,"2005",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"48",1,4.33768282082183,2.143207986,1.178302759,"Cycling",15,225,34.42857143,"Wet",-6.419047619,0.875,1,6.64476386,13.81369863,0.208219178,0.043835616,7.143052704,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"49",1,4.5368913452348,2.134424188,1.167332873,"Cycling",15,225,34.37931034,"Wet",-11.19285714,0.875,1,6.652977413,13.79178082,0.208219178,0.052054795,7.151266256,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
